,date,open,high,low,close,volume,Single_Candle_Pattern,Double_Candle_Pattern,HL2,Trend,max_close,min_close
0,09:15:00,15877.55,15881.1,15817.85,15835.1,0,Pattern,Pattern,HL2,Trend,max_close,min_close
1,09:18:00,15836.65,15836.65,15807.6,15832.05,0,Pattern,Pattern,HL2,Trend,max_close,min_close
2,09:21:00,15830.25,15843.5,15811.8,15812.85,0,Pattern,Pattern,HL2,Trend,max_close,min_close
3,09:24:00,15811.7,15816.55,15786.95,15791.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
4,09:27:00,15790.35,15799.0,15778.3,15791.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
5,09:30:00,15792.2,15798.4,15775.45,15797.2,0,Pattern,Pattern,HL2,Trend,max_close,min_close
6,09:33:00,15797.65,15798.0,15779.0,15786.8,0,Pattern,Pattern,HL2,Trend,max_close,min_close
7,09:36:00,15790.4,15795.15,15782.3,15787.0,0,Pattern,Pattern,HL2,Trend,max_close,min_close
8,09:39:00,15787.55,15788.05,15769.1,15784.75,0,Pattern,Pattern,HL2,Trend,max_close,min_close
9,09:42:00,15784.35,15790.25,15777.65,15779.85,0,Pattern,Pattern,HL2,Trend,max_close,min_close
10,09:45:00,15780.45,15785.15,15770.7,15782.15,0,Pattern,Pattern,HL2,Trend,max_close,min_close
11,09:48:00,15782.3,15798.85,15780.9,15797.6,0,Pattern,Pattern,HL2,Trend,max_close,min_close
12,09:51:00,15796.05,15801.35,15790.1,15796.5,0,Pattern,Pattern,HL2,Trend,max_close,min_close
13,09:54:00,15796.15,15800.2,15788.95,15789.05,0,Pattern,Pattern,HL2,Trend,max_close,min_close
14,09:57:00,15789.8,15797.0,15789.3,15795.95,0,Pattern,Pattern,HL2,Trend,max_close,min_close
15,10:00:00,15796.85,15797.4,15784.75,15785.3,0,Pattern,Pattern,HL2,Trend,max_close,min_close
16,10:03:00,15785.55,15786.55,15766.95,15775.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
17,10:06:00,15774.95,15774.95,15761.6,15763.45,0,Pattern,Pattern,HL2,Trend,max_close,min_close
18,10:09:00,15765.75,15779.3,15764.85,15775.95,0,Pattern,Pattern,HL2,Trend,max_close,min_close
19,10:12:00,15777.35,15777.65,15771.3,15777.65,0,Pattern,Pattern,HL2,Trend,max_close,min_close
20,10:15:00,15777.55,15777.55,15756.55,15758.1,0,Pattern,Pattern,HL2,Trend,max_close,min_close
21,10:18:00,15757.8,15759.65,15750.4,15758.55,0,Pattern,Pattern,HL2,Trend,max_close,min_close
22,10:21:00,15758.35,15764.2,15754.85,15757.5,0,Pattern,Pattern,HL2,Trend,max_close,min_close
23,10:24:00,15756.9,15766.1,15754.25,15766.1,0,Pattern,Pattern,HL2,Trend,max_close,min_close
24,10:27:00,15765.75,15775.9,15764.25,15773.9,0,Pattern,Pattern,HL2,Trend,max_close,min_close
25,10:30:00,15774.65,15779.5,15770.75,15775.95,0,Pattern,Pattern,HL2,Trend,max_close,min_close
26,10:33:00,15775.3,15791.45,15772.2,15782.2,0,Pattern,Pattern,HL2,Trend,max_close,min_close
27,10:36:00,15782.7,15790.25,15779.45,15789.5,0,Pattern,Pattern,HL2,Trend,max_close,min_close
28,10:39:00,15789.2,15796.7,15785.6,15796.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
29,10:42:00,15796.8,15802.2,15786.95,15786.95,0,Pattern,Pattern,HL2,Trend,max_close,min_close
30,10:45:00,15785.8,15789.75,15777.4,15783.1,0,Pattern,Pattern,HL2,Trend,max_close,min_close
31,10:48:00,15783.2,15783.2,15776.15,15781.8,0,Pattern,Pattern,HL2,Trend,max_close,min_close
32,10:51:00,15781.45,15796.1,15781.45,15787.9,0,Pattern,Pattern,HL2,Trend,max_close,min_close
33,10:54:00,15788.15,15800.2,15787.45,15793.9,0,Pattern,Pattern,HL2,Trend,max_close,min_close
34,10:57:00,15794.5,15799.0,15791.05,15796.3,0,Pattern,Pattern,HL2,Trend,max_close,min_close
35,11:00:00,15797.0,15806.65,15790.45,15791.05,0,Pattern,Pattern,HL2,Trend,max_close,min_close
36,11:03:00,15791.85,15812.7,15791.4,15811.9,0,Pattern,Pattern,HL2,Trend,max_close,min_close
37,11:06:00,15812.1,15813.75,15804.3,15806.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
38,11:09:00,15806.45,15810.85,15801.35,15802.9,0,Pattern,Pattern,HL2,Trend,max_close,min_close
39,11:12:00,15802.6,15809.05,15802.6,15806.4,0,Pattern,Pattern,HL2,Trend,max_close,min_close
40,11:15:00,15806.8,15812.4,15805.75,15808.85,0,Pattern,Pattern,HL2,Trend,max_close,min_close
41,11:18:00,15808.75,15809.5,15798.35,15801.45,0,Pattern,Pattern,HL2,Trend,max_close,min_close
42,11:21:00,15801.2,15817.05,15800.95,15814.95,0,Pattern,Pattern,HL2,Trend,max_close,min_close
43,11:24:00,15814.3,15819.65,15810.95,15818.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
44,11:27:00,15818.5,15820.3,15811.3,15811.35,0,Pattern,Pattern,HL2,Trend,max_close,min_close
45,11:30:00,15811.05,15814.4,15805.8,15812.15,0,Pattern,Pattern,HL2,Trend,max_close,min_close
46,11:33:00,15812.45,15812.45,15788.15,15788.35,0,Pattern,Pattern,HL2,Trend,max_close,min_close
47,11:36:00,15787.4,15794.65,15781.3,15789.6,0,Pattern,Pattern,HL2,Trend,max_close,min_close
48,11:39:00,15789.7,15792.2,15784.25,15787.6,0,Pattern,Pattern,HL2,Trend,max_close,min_close
49,11:42:00,15787.85,15789.55,15782.9,15784.4,0,Pattern,Pattern,HL2,Trend,max_close,min_close
50,11:45:00,15784.55,15793.1,15781.1,15790.5,0,Pattern,Pattern,HL2,Trend,max_close,min_close
51,11:48:00,15791.45,15794.95,15786.8,15788.55,0,Pattern,Pattern,HL2,Trend,max_close,min_close
52,11:51:00,15788.7,15795.15,15783.4,15784.3,0,Pattern,Pattern,HL2,Trend,max_close,min_close
53,11:54:00,15784.2,15791.85,15783.5,15786.5,0,Pattern,Pattern,HL2,Trend,max_close,min_close
54,11:57:00,15785.7,15795.15,15784.45,15787.15,0,Pattern,Pattern,HL2,Trend,max_close,min_close
55,12:00:00,15787.2,15794.7,15783.6,15791.2,0,Pattern,Pattern,HL2,Trend,max_close,min_close
56,12:03:00,15790.8,15791.9,15785.0,15791.45,0,Pattern,Pattern,HL2,Trend,max_close,min_close
57,12:06:00,15791.3,15797.7,15789.0,15795.7,0,Pattern,Pattern,HL2,Trend,max_close,min_close
