,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
29369,13409282,52380,NIFTY22FEB16100PE,NIFTY,0,2/24/2022,16100,0.05,50,PE,NFO-OPT,NFO
29370,13409538,52381,NIFTY22FEB16150CE,NIFTY,0,2/24/2022,16150,0.05,50,CE,NFO-OPT,NFO
29371,13409794,52382,NIFTY22FEB16150PE,NIFTY,0,2/24/2022,16150,0.05,50,PE,NFO-OPT,NFO
29372,13410050,52383,NIFTY22FEB16200CE,NIFTY,0,2/24/2022,16200,0.05,50,CE,NFO-OPT,NFO
29373,13410306,52384,NIFTY22FEB16200PE,NIFTY,0,2/24/2022,16200,0.05,50,PE,NFO-OPT,NFO
29374,13410562,52385,NIFTY22FEB16250CE,NIFTY,0,2/24/2022,16250,0.05,50,CE,NFO-OPT,NFO
29375,13410818,52386,NIFTY22FEB16250PE,NIFTY,0,2/24/2022,16250,0.05,50,PE,NFO-OPT,NFO
29376,13411074,52387,NIFTY22FEB16300CE,NIFTY,0,2/24/2022,16300,0.05,50,CE,NFO-OPT,NFO
29377,13411330,52388,NIFTY22FEB16300PE,NIFTY,0,2/24/2022,16300,0.05,50,PE,NFO-OPT,NFO
29378,13411586,52389,NIFTY22FEB16350CE,NIFTY,0,2/24/2022,16350,0.05,50,CE,NFO-OPT,NFO
29379,13411842,52390,NIFTY22FEB16350PE,NIFTY,0,2/24/2022,16350,0.05,50,PE,NFO-OPT,NFO
29380,13412098,52391,NIFTY22FEB16400CE,NIFTY,0,2/24/2022,16400,0.05,50,CE,NFO-OPT,NFO
29381,13412354,52392,NIFTY22FEB16400PE,NIFTY,0,2/24/2022,16400,0.05,50,PE,NFO-OPT,NFO
29382,13412610,52393,NIFTY22FEB16450CE,NIFTY,0,2/24/2022,16450,0.05,50,CE,NFO-OPT,NFO
29383,13412866,52394,NIFTY22FEB16450PE,NIFTY,0,2/24/2022,16450,0.05,50,PE,NFO-OPT,NFO
29384,13413122,52395,NIFTY22FEB16500CE,NIFTY,0,2/24/2022,16500,0.05,50,CE,NFO-OPT,NFO
29385,13413378,52396,NIFTY22FEB16500PE,NIFTY,0,2/24/2022,16500,0.05,50,PE,NFO-OPT,NFO
29386,13413634,52397,NIFTY22FEB16550CE,NIFTY,0,2/24/2022,16550,0.05,50,CE,NFO-OPT,NFO
29387,13413890,52398,NIFTY22FEB16550PE,NIFTY,0,2/24/2022,16550,0.05,50,PE,NFO-OPT,NFO
29388,13414146,52399,NIFTY22FEB16600CE,NIFTY,0,2/24/2022,16600,0.05,50,CE,NFO-OPT,NFO
29389,13414402,52400,NIFTY22FEB16600PE,NIFTY,0,2/24/2022,16600,0.05,50,PE,NFO-OPT,NFO
29390,13414658,52401,NIFTY22FEB16650CE,NIFTY,0,2/24/2022,16650,0.05,50,CE,NFO-OPT,NFO
29391,13414914,52402,NIFTY22FEB16650PE,NIFTY,0,2/24/2022,16650,0.05,50,PE,NFO-OPT,NFO
29392,13415170,52403,NIFTY22FEB16700CE,NIFTY,0,2/24/2022,16700,0.05,50,CE,NFO-OPT,NFO
29393,13415426,52404,NIFTY22FEB16700PE,NIFTY,0,2/24/2022,16700,0.05,50,PE,NFO-OPT,NFO
29394,13415682,52405,NIFTY22FEB16750CE,NIFTY,0,2/24/2022,16750,0.05,50,CE,NFO-OPT,NFO
29395,13415938,52406,NIFTY22FEB16750PE,NIFTY,0,2/24/2022,16750,0.05,50,PE,NFO-OPT,NFO
29396,13416194,52407,NIFTY22FEB16800CE,NIFTY,0,2/24/2022,16800,0.05,50,CE,NFO-OPT,NFO
29397,13416450,52408,NIFTY22FEB16800PE,NIFTY,0,2/24/2022,16800,0.05,50,PE,NFO-OPT,NFO
29398,13416706,52409,NIFTY22FEB16850CE,NIFTY,0,2/24/2022,16850,0.05,50,CE,NFO-OPT,NFO
29399,13416962,52410,NIFTY22FEB16850PE,NIFTY,0,2/24/2022,16850,0.05,50,PE,NFO-OPT,NFO
29400,13417218,52411,NIFTY22FEB16900CE,NIFTY,0,2/24/2022,16900,0.05,50,CE,NFO-OPT,NFO
29401,13417474,52412,NIFTY22FEB16900PE,NIFTY,0,2/24/2022,16900,0.05,50,PE,NFO-OPT,NFO
29402,13417730,52413,NIFTY22FEB16950CE,NIFTY,0,2/24/2022,16950,0.05,50,CE,NFO-OPT,NFO
29403,13417986,52414,NIFTY22FEB16950PE,NIFTY,0,2/24/2022,16950,0.05,50,PE,NFO-OPT,NFO
29404,13418242,52415,NIFTY22FEB17000CE,NIFTY,0,2/24/2022,17000,0.05,50,CE,NFO-OPT,NFO
29405,13418498,52416,NIFTY22FEB17000PE,NIFTY,0,2/24/2022,17000,0.05,50,PE,NFO-OPT,NFO
29406,13418754,52417,NIFTY22FEB17050CE,NIFTY,0,2/24/2022,17050,0.05,50,CE,NFO-OPT,NFO
29407,13419010,52418,NIFTY22FEB17050PE,NIFTY,0,2/24/2022,17050,0.05,50,PE,NFO-OPT,NFO
29408,13419266,52419,NIFTY22FEB17100CE,NIFTY,0,2/24/2022,17100,0.05,50,CE,NFO-OPT,NFO
29409,13419522,52420,NIFTY22FEB17100PE,NIFTY,0,2/24/2022,17100,0.05,50,PE,NFO-OPT,NFO
29410,13419778,52421,NIFTY22FEB17150CE,NIFTY,0,2/24/2022,17150,0.05,50,CE,NFO-OPT,NFO
29411,13420034,52422,NIFTY22FEB17150PE,NIFTY,0,2/24/2022,17150,0.05,50,PE,NFO-OPT,NFO
29412,13420290,52423,NIFTY22FEB17200CE,NIFTY,0,2/24/2022,17200,0.05,50,CE,NFO-OPT,NFO
29413,13420546,52424,NIFTY22FEB17200PE,NIFTY,0,2/24/2022,17200,0.05,50,PE,NFO-OPT,NFO
29414,13420802,52425,NIFTY22FEB17250CE,NIFTY,0,2/24/2022,17250,0.05,50,CE,NFO-OPT,NFO
29415,13421058,52426,NIFTY22FEB17250PE,NIFTY,0,2/24/2022,17250,0.05,50,PE,NFO-OPT,NFO
29416,13421314,52427,NIFTY22FEB17300CE,NIFTY,0,2/24/2022,17300,0.05,50,CE,NFO-OPT,NFO
29417,13421570,52428,NIFTY22FEB17300PE,NIFTY,0,2/24/2022,17300,0.05,50,PE,NFO-OPT,NFO
29418,13421826,52429,NIFTY22FEB17350CE,NIFTY,0,2/24/2022,17350,0.05,50,CE,NFO-OPT,NFO
29419,13422082,52430,NIFTY22FEB17350PE,NIFTY,0,2/24/2022,17350,0.05,50,PE,NFO-OPT,NFO
29420,13422338,52431,NIFTY22FEB17400CE,NIFTY,0,2/24/2022,17400,0.05,50,CE,NFO-OPT,NFO
29421,13422594,52432,NIFTY22FEB17400PE,NIFTY,0,2/24/2022,17400,0.05,50,PE,NFO-OPT,NFO
29422,13422850,52433,NIFTY22FEB17450CE,NIFTY,0,2/24/2022,17450,0.05,50,CE,NFO-OPT,NFO
29423,13423106,52434,NIFTY22FEB17450PE,NIFTY,0,2/24/2022,17450,0.05,50,PE,NFO-OPT,NFO
29424,13423362,52435,NIFTY22FEB17500CE,NIFTY,0,2/24/2022,17500,0.05,50,CE,NFO-OPT,NFO
29425,13423618,52436,NIFTY22FEB17500PE,NIFTY,0,2/24/2022,17500,0.05,50,PE,NFO-OPT,NFO
29426,13423874,52437,NIFTY22FEB17550CE,NIFTY,0,2/24/2022,17550,0.05,50,CE,NFO-OPT,NFO
29427,13424130,52438,NIFTY22FEB17550PE,NIFTY,0,2/24/2022,17550,0.05,50,PE,NFO-OPT,NFO
29428,13424386,52439,NIFTY22FEB17600CE,NIFTY,0,2/24/2022,17600,0.05,50,CE,NFO-OPT,NFO
29429,13424642,52440,NIFTY22FEB17600PE,NIFTY,0,2/24/2022,17600,0.05,50,PE,NFO-OPT,NFO
29430,13424898,52441,NIFTY22FEB17650CE,NIFTY,0,2/24/2022,17650,0.05,50,CE,NFO-OPT,NFO
29431,13425154,52442,NIFTY22FEB17650PE,NIFTY,0,2/24/2022,17650,0.05,50,PE,NFO-OPT,NFO
29432,13425410,52443,NIFTY22FEB17700CE,NIFTY,0,2/24/2022,17700,0.05,50,CE,NFO-OPT,NFO
29433,13425666,52444,NIFTY22FEB17700PE,NIFTY,0,2/24/2022,17700,0.05,50,PE,NFO-OPT,NFO
29434,13425922,52445,NIFTY22FEB17750CE,NIFTY,0,2/24/2022,17750,0.05,50,CE,NFO-OPT,NFO
29435,13426178,52446,NIFTY22FEB17750PE,NIFTY,0,2/24/2022,17750,0.05,50,PE,NFO-OPT,NFO
29436,13426434,52447,NIFTY22FEB17800CE,NIFTY,0,2/24/2022,17800,0.05,50,CE,NFO-OPT,NFO
29437,13426690,52448,NIFTY22FEB17800PE,NIFTY,0,2/24/2022,17800,0.05,50,PE,NFO-OPT,NFO
29438,13426946,52449,NIFTY22FEB17850CE,NIFTY,0,2/24/2022,17850,0.05,50,CE,NFO-OPT,NFO
29439,13427202,52450,NIFTY22FEB17850PE,NIFTY,0,2/24/2022,17850,0.05,50,PE,NFO-OPT,NFO
29440,13427458,52451,NIFTY22FEB17900CE,NIFTY,0,2/24/2022,17900,0.05,50,CE,NFO-OPT,NFO
29441,13427714,52452,NIFTY22FEB17900PE,NIFTY,0,2/24/2022,17900,0.05,50,PE,NFO-OPT,NFO
29442,13427970,52453,NIFTY22FEB17950CE,NIFTY,0,2/24/2022,17950,0.05,50,CE,NFO-OPT,NFO
29443,13428226,52454,NIFTY22FEB17950PE,NIFTY,0,2/24/2022,17950,0.05,50,PE,NFO-OPT,NFO
29444,13428482,52455,NIFTY22FEB18000CE,NIFTY,0,2/24/2022,18000,0.05,50,CE,NFO-OPT,NFO
29445,13428738,52456,NIFTY22FEB18000PE,NIFTY,0,2/24/2022,18000,0.05,50,PE,NFO-OPT,NFO
29446,13428994,52457,NIFTY22FEB18050CE,NIFTY,0,2/24/2022,18050,0.05,50,CE,NFO-OPT,NFO
29447,13429250,52458,NIFTY22FEB18050PE,NIFTY,0,2/24/2022,18050,0.05,50,PE,NFO-OPT,NFO
29448,13429506,52459,NIFTY22FEB18100CE,NIFTY,0,2/24/2022,18100,0.05,50,CE,NFO-OPT,NFO
29449,13429762,52460,NIFTY22FEB18100PE,NIFTY,0,2/24/2022,18100,0.05,50,PE,NFO-OPT,NFO
29450,13430018,52461,NIFTY22FEB18150CE,NIFTY,0,2/24/2022,18150,0.05,50,CE,NFO-OPT,NFO
29451,13430274,52462,NIFTY22FEB18150PE,NIFTY,0,2/24/2022,18150,0.05,50,PE,NFO-OPT,NFO
29452,13430530,52463,NIFTY22FEB18200CE,NIFTY,0,2/24/2022,18200,0.05,50,CE,NFO-OPT,NFO
29453,13430786,52464,NIFTY22FEB18200PE,NIFTY,0,2/24/2022,18200,0.05,50,PE,NFO-OPT,NFO
29454,13431042,52465,NIFTY22FEB18250CE,NIFTY,0,2/24/2022,18250,0.05,50,CE,NFO-OPT,NFO
29455,13431298,52466,NIFTY22FEB18250PE,NIFTY,0,2/24/2022,18250,0.05,50,PE,NFO-OPT,NFO
29456,13431554,52467,NIFTY22FEB18300CE,NIFTY,0,2/24/2022,18300,0.05,50,CE,NFO-OPT,NFO
29457,13431810,52468,NIFTY22FEB18300PE,NIFTY,0,2/24/2022,18300,0.05,50,PE,NFO-OPT,NFO
29458,13432066,52469,NIFTY22FEB18350CE,NIFTY,0,2/24/2022,18350,0.05,50,CE,NFO-OPT,NFO
29459,13432322,52470,NIFTY22FEB18350PE,NIFTY,0,2/24/2022,18350,0.05,50,PE,NFO-OPT,NFO
29460,13432578,52471,NIFTY22FEB18400CE,NIFTY,0,2/24/2022,18400,0.05,50,CE,NFO-OPT,NFO
29461,13432834,52472,NIFTY22FEB18400PE,NIFTY,0,2/24/2022,18400,0.05,50,PE,NFO-OPT,NFO
29462,13433090,52473,NIFTY22FEB18450CE,NIFTY,0,2/24/2022,18450,0.05,50,CE,NFO-OPT,NFO
29463,13433346,52474,NIFTY22FEB18450PE,NIFTY,0,2/24/2022,18450,0.05,50,PE,NFO-OPT,NFO
29464,13433602,52475,NIFTY22FEB18500CE,NIFTY,0,2/24/2022,18500,0.05,50,CE,NFO-OPT,NFO
29465,13433858,52476,NIFTY22FEB18500PE,NIFTY,0,2/24/2022,18500,0.05,50,PE,NFO-OPT,NFO
29466,13434114,52477,NIFTY22FEB18550CE,NIFTY,0,2/24/2022,18550,0.05,50,CE,NFO-OPT,NFO
29467,13434370,52478,NIFTY22FEB18550PE,NIFTY,0,2/24/2022,18550,0.05,50,PE,NFO-OPT,NFO
29468,13434626,52479,NIFTY22FEB18600CE,NIFTY,0,2/24/2022,18600,0.05,50,CE,NFO-OPT,NFO
29469,13434882,52480,NIFTY22FEB18600PE,NIFTY,0,2/24/2022,18600,0.05,50,PE,NFO-OPT,NFO
29470,13435138,52481,NIFTY22FEB18650CE,NIFTY,0,2/24/2022,18650,0.05,50,CE,NFO-OPT,NFO
29471,13435394,52482,NIFTY22FEB18650PE,NIFTY,0,2/24/2022,18650,0.05,50,PE,NFO-OPT,NFO
29472,13435650,52483,NIFTY22FEB18700CE,NIFTY,0,2/24/2022,18700,0.05,50,CE,NFO-OPT,NFO
29473,13435906,52484,NIFTY22FEB18700PE,NIFTY,0,2/24/2022,18700,0.05,50,PE,NFO-OPT,NFO
29474,13436162,52485,NIFTY22FEB18750CE,NIFTY,0,2/24/2022,18750,0.05,50,CE,NFO-OPT,NFO
29475,13436418,52486,NIFTY22FEB18750PE,NIFTY,0,2/24/2022,18750,0.05,50,PE,NFO-OPT,NFO
29476,13436674,52487,NIFTY22FEB18800CE,NIFTY,0,2/24/2022,18800,0.05,50,CE,NFO-OPT,NFO
29477,13436930,52488,NIFTY22FEB18800PE,NIFTY,0,2/24/2022,18800,0.05,50,PE,NFO-OPT,NFO
29478,13437186,52489,NIFTY22FEB18850CE,NIFTY,0,2/24/2022,18850,0.05,50,CE,NFO-OPT,NFO
29479,13437442,52490,NIFTY22FEB18850PE,NIFTY,0,2/24/2022,18850,0.05,50,PE,NFO-OPT,NFO
29480,13437698,52491,NIFTY22FEB18900CE,NIFTY,0,2/24/2022,18900,0.05,50,CE,NFO-OPT,NFO
29481,13437954,52492,NIFTY22FEB18900PE,NIFTY,0,2/24/2022,18900,0.05,50,PE,NFO-OPT,NFO
29482,13438210,52493,NIFTY22FEB18950CE,NIFTY,0,2/24/2022,18950,0.05,50,CE,NFO-OPT,NFO
29483,13438466,52494,NIFTY22FEB18950PE,NIFTY,0,2/24/2022,18950,0.05,50,PE,NFO-OPT,NFO
29484,13438722,52495,NIFTY22FEB19000CE,NIFTY,0,2/24/2022,19000,0.05,50,CE,NFO-OPT,NFO
29485,13438978,52496,NIFTY22FEB19000PE,NIFTY,0,2/24/2022,19000,0.05,50,PE,NFO-OPT,NFO
29486,13439234,52497,NIFTY22FEB19050CE,NIFTY,0,2/24/2022,19050,0.05,50,CE,NFO-OPT,NFO
29487,13439490,52498,NIFTY22FEB19050PE,NIFTY,0,2/24/2022,19050,0.05,50,PE,NFO-OPT,NFO
29488,9622530,37588,NIFTY22FEB19100CE,NIFTY,0,2/24/2022,19100,0.05,50,CE,NFO-OPT,NFO
29489,9622786,37589,NIFTY22FEB19100PE,NIFTY,0,2/24/2022,19100,0.05,50,PE,NFO-OPT,NFO
29490,9623042,37590,NIFTY22FEB19150CE,NIFTY,0,2/24/2022,19150,0.05,50,CE,NFO-OPT,NFO
29491,9623298,37591,NIFTY22FEB19150PE,NIFTY,0,2/24/2022,19150,0.05,50,PE,NFO-OPT,NFO
29492,10294274,40212,NIFTY22FEB19200CE,NIFTY,0,2/24/2022,19200,0.05,50,CE,NFO-OPT,NFO
29493,10296066,40219,NIFTY22FEB19200PE,NIFTY,0,2/24/2022,19200,0.05,50,PE,NFO-OPT,NFO
29494,10296322,40220,NIFTY22FEB19250CE,NIFTY,0,2/24/2022,19250,0.05,50,CE,NFO-OPT,NFO
29495,10296578,40221,NIFTY22FEB19250PE,NIFTY,0,2/24/2022,19250,0.05,50,PE,NFO-OPT,NFO
29496,10297346,40224,NIFTY22FEB19300CE,NIFTY,0,2/24/2022,19300,0.05,50,CE,NFO-OPT,NFO
29497,10298114,40227,NIFTY22FEB19300PE,NIFTY,0,2/24/2022,19300,0.05,50,PE,NFO-OPT,NFO
29498,9815810,38343,NIFTY22FEB19350CE,NIFTY,0,2/24/2022,19350,0.05,50,CE,NFO-OPT,NFO
29499,9816066,38344,NIFTY22FEB19350PE,NIFTY,0,2/24/2022,19350,0.05,50,PE,NFO-OPT,NFO
29500,9817346,38349,NIFTY22FEB19400CE,NIFTY,0,2/24/2022,19400,0.05,50,CE,NFO-OPT,NFO
29501,9817602,38350,NIFTY22FEB19400PE,NIFTY,0,2/24/2022,19400,0.05,50,PE,NFO-OPT,NFO
29502,9818114,38352,NIFTY22FEB19450CE,NIFTY,0,2/24/2022,19450,0.05,50,CE,NFO-OPT,NFO
29503,9818370,38353,NIFTY22FEB19450PE,NIFTY,0,2/24/2022,19450,0.05,50,PE,NFO-OPT,NFO
29504,11488258,44876,NIFTY22FEB19500CE,NIFTY,0,2/24/2022,19500,0.05,50,CE,NFO-OPT,NFO
29505,11488514,44877,NIFTY22FEB19500PE,NIFTY,0,2/24/2022,19500,0.05,50,PE,NFO-OPT,NFO
29506,12147458,47451,NIFTY22FEB19550CE,NIFTY,0,2/24/2022,19550,0.05,50,CE,NFO-OPT,NFO
29507,12147714,47452,NIFTY22FEB19550PE,NIFTY,0,2/24/2022,19550,0.05,50,PE,NFO-OPT,NFO
29508,10866178,42446,NIFTY22FEB19600CE,NIFTY,0,2/24/2022,19600,0.05,50,CE,NFO-OPT,NFO
29509,10866434,42447,NIFTY22FEB19600PE,NIFTY,0,2/24/2022,19600,0.05,50,PE,NFO-OPT,NFO
29510,10866690,42448,NIFTY22FEB19650CE,NIFTY,0,2/24/2022,19650,0.05,50,CE,NFO-OPT,NFO
29511,10866946,42449,NIFTY22FEB19650PE,NIFTY,0,2/24/2022,19650,0.05,50,PE,NFO-OPT,NFO
29512,10867202,42450,NIFTY22FEB19700CE,NIFTY,0,2/24/2022,19700,0.05,50,CE,NFO-OPT,NFO
29513,10867458,42451,NIFTY22FEB19700PE,NIFTY,0,2/24/2022,19700,0.05,50,PE,NFO-OPT,NFO
29514,12495874,48812,NIFTY22FEB19750CE,NIFTY,0,2/24/2022,19750,0.05,50,CE,NFO-OPT,NFO
29515,12496130,48813,NIFTY22FEB19750PE,NIFTY,0,2/24/2022,19750,0.05,50,PE,NFO-OPT,NFO
29516,9616386,37564,NIFTY22FEB19800CE,NIFTY,0,2/24/2022,19800,0.05,50,CE,NFO-OPT,NFO
29517,9616642,37565,NIFTY22FEB19800PE,NIFTY,0,2/24/2022,19800,0.05,50,PE,NFO-OPT,NFO
29518,14034690,54823,NIFTY2221715100CE,NIFTY,0,2/17/2022,15100,0.05,50,CE,NFO-OPT,NFO
29519,14034946,54824,NIFTY2221715100PE,NIFTY,0,2/17/2022,15100,0.05,50,PE,NFO-OPT,NFO
29520,14035202,54825,NIFTY2221715150CE,NIFTY,0,2/17/2022,15150,0.05,50,CE,NFO-OPT,NFO
29521,14035458,54826,NIFTY2221715150PE,NIFTY,0,2/17/2022,15150,0.05,50,PE,NFO-OPT,NFO
29522,14035714,54827,NIFTY2221715200CE,NIFTY,0,2/17/2022,15200,0.05,50,CE,NFO-OPT,NFO
29523,14035970,54828,NIFTY2221715200PE,NIFTY,0,2/17/2022,15200,0.05,50,PE,NFO-OPT,NFO
29524,14036226,54829,NIFTY2221715250CE,NIFTY,0,2/17/2022,15250,0.05,50,CE,NFO-OPT,NFO
29525,14036482,54830,NIFTY2221715250PE,NIFTY,0,2/17/2022,15250,0.05,50,PE,NFO-OPT,NFO
29526,14036738,54831,NIFTY2221715300CE,NIFTY,0,2/17/2022,15300,0.05,50,CE,NFO-OPT,NFO
29527,14036994,54832,NIFTY2221715300PE,NIFTY,0,2/17/2022,15300,0.05,50,PE,NFO-OPT,NFO
29528,14037250,54833,NIFTY2221715350CE,NIFTY,0,2/17/2022,15350,0.05,50,CE,NFO-OPT,NFO
29529,14037506,54834,NIFTY2221715350PE,NIFTY,0,2/17/2022,15350,0.05,50,PE,NFO-OPT,NFO
29530,14037762,54835,NIFTY2221715400CE,NIFTY,0,2/17/2022,15400,0.05,50,CE,NFO-OPT,NFO
29531,14038018,54836,NIFTY2221715400PE,NIFTY,0,2/17/2022,15400,0.05,50,PE,NFO-OPT,NFO
29532,14038274,54837,NIFTY2221715450CE,NIFTY,0,2/17/2022,15450,0.05,50,CE,NFO-OPT,NFO
29533,14038530,54838,NIFTY2221715450PE,NIFTY,0,2/17/2022,15450,0.05,50,PE,NFO-OPT,NFO
29534,11161602,43600,NIFTY2221715500CE,NIFTY,0,2/17/2022,15500,0.05,50,CE,NFO-OPT,NFO
29535,11161858,43601,NIFTY2221715500PE,NIFTY,0,2/17/2022,15500,0.05,50,PE,NFO-OPT,NFO
29536,11225346,43849,NIFTY2221715550CE,NIFTY,0,2/17/2022,15550,0.05,50,CE,NFO-OPT,NFO
29537,11225602,43850,NIFTY2221715550PE,NIFTY,0,2/17/2022,15550,0.05,50,PE,NFO-OPT,NFO
29538,11601154,45317,NIFTY2221715600CE,NIFTY,0,2/17/2022,15600,0.05,50,CE,NFO-OPT,NFO
29539,11601666,45319,NIFTY2221715600PE,NIFTY,0,2/17/2022,15600,0.05,50,PE,NFO-OPT,NFO
29540,11617026,45379,NIFTY2221715650CE,NIFTY,0,2/17/2022,15650,0.05,50,CE,NFO-OPT,NFO
29541,11617282,45380,NIFTY2221715650PE,NIFTY,0,2/17/2022,15650,0.05,50,PE,NFO-OPT,NFO
29542,11793922,46070,NIFTY2221715700CE,NIFTY,0,2/17/2022,15700,0.05,50,CE,NFO-OPT,NFO
29543,11794178,46071,NIFTY2221715700PE,NIFTY,0,2/17/2022,15700,0.05,50,PE,NFO-OPT,NFO
29544,13368066,52219,NIFTY2221715750CE,NIFTY,0,2/17/2022,15750,0.05,50,CE,NFO-OPT,NFO
29545,13368322,52220,NIFTY2221715750PE,NIFTY,0,2/17/2022,15750,0.05,50,PE,NFO-OPT,NFO
29546,13370114,52227,NIFTY2221715800CE,NIFTY,0,2/17/2022,15800,0.05,50,CE,NFO-OPT,NFO
29547,13370370,52228,NIFTY2221715800PE,NIFTY,0,2/17/2022,15800,0.05,50,PE,NFO-OPT,NFO
29548,13373186,52239,NIFTY2221715850CE,NIFTY,0,2/17/2022,15850,0.05,50,CE,NFO-OPT,NFO
