,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
29328,14038786,54839,NIFTY22FEB15100CE,NIFTY,0,2/24/2022,15100,0.05,50,CE,NFO-OPT,NFO
29329,14039042,54840,NIFTY22FEB15100PE,NIFTY,0,2/24/2022,15100,0.05,50,PE,NFO-OPT,NFO
29330,14039298,54841,NIFTY22FEB15150CE,NIFTY,0,2/24/2022,15150,0.05,50,CE,NFO-OPT,NFO
29331,14039554,54842,NIFTY22FEB15150PE,NIFTY,0,2/24/2022,15150,0.05,50,PE,NFO-OPT,NFO
29332,14039810,54843,NIFTY22FEB15200CE,NIFTY,0,2/24/2022,15200,0.05,50,CE,NFO-OPT,NFO
29333,14040066,54844,NIFTY22FEB15200PE,NIFTY,0,2/24/2022,15200,0.05,50,PE,NFO-OPT,NFO
29334,14040322,54845,NIFTY22FEB15250CE,NIFTY,0,2/24/2022,15250,0.05,50,CE,NFO-OPT,NFO
29335,14040578,54846,NIFTY22FEB15250PE,NIFTY,0,2/24/2022,15250,0.05,50,PE,NFO-OPT,NFO
29336,14040834,54847,NIFTY22FEB15300CE,NIFTY,0,2/24/2022,15300,0.05,50,CE,NFO-OPT,NFO
29337,14041090,54848,NIFTY22FEB15300PE,NIFTY,0,2/24/2022,15300,0.05,50,PE,NFO-OPT,NFO
29338,14041346,54849,NIFTY22FEB15350CE,NIFTY,0,2/24/2022,15350,0.05,50,CE,NFO-OPT,NFO
29339,14041602,54850,NIFTY22FEB15350PE,NIFTY,0,2/24/2022,15350,0.05,50,PE,NFO-OPT,NFO
29340,11913986,46539,NIFTY22FEB15400CE,NIFTY,0,2/24/2022,15400,0.05,50,CE,NFO-OPT,NFO
29341,11914242,46540,NIFTY22FEB15400PE,NIFTY,0,2/24/2022,15400,0.05,50,PE,NFO-OPT,NFO
29342,11914754,46542,NIFTY22FEB15450CE,NIFTY,0,2/24/2022,15450,0.05,50,CE,NFO-OPT,NFO
29343,11915522,46545,NIFTY22FEB15450PE,NIFTY,0,2/24/2022,15450,0.05,50,PE,NFO-OPT,NFO
29344,11235330,43888,NIFTY22FEB15500CE,NIFTY,0,2/24/2022,15500,0.05,50,CE,NFO-OPT,NFO
29345,11236354,43892,NIFTY22FEB15500PE,NIFTY,0,2/24/2022,15500,0.05,50,PE,NFO-OPT,NFO
29346,9257730,36163,NIFTY22FEB15550CE,NIFTY,0,2/24/2022,15550,0.05,50,CE,NFO-OPT,NFO
29347,9258242,36165,NIFTY22FEB15550PE,NIFTY,0,2/24/2022,15550,0.05,50,PE,NFO-OPT,NFO
29348,9258498,36166,NIFTY22FEB15600CE,NIFTY,0,2/24/2022,15600,0.05,50,CE,NFO-OPT,NFO
29349,9258754,36167,NIFTY22FEB15600PE,NIFTY,0,2/24/2022,15600,0.05,50,PE,NFO-OPT,NFO
29350,9259010,36168,NIFTY22FEB15650CE,NIFTY,0,2/24/2022,15650,0.05,50,CE,NFO-OPT,NFO
29351,9259266,36169,NIFTY22FEB15650PE,NIFTY,0,2/24/2022,15650,0.05,50,PE,NFO-OPT,NFO
29352,9259522,36170,NIFTY22FEB15700CE,NIFTY,0,2/24/2022,15700,0.05,50,CE,NFO-OPT,NFO
29353,9259778,36171,NIFTY22FEB15700PE,NIFTY,0,2/24/2022,15700,0.05,50,PE,NFO-OPT,NFO
29354,9266178,36196,NIFTY22FEB15750CE,NIFTY,0,2/24/2022,15750,0.05,50,CE,NFO-OPT,NFO
29355,9266434,36197,NIFTY22FEB15750PE,NIFTY,0,2/24/2022,15750,0.05,50,PE,NFO-OPT,NFO
29356,9274626,36229,NIFTY22FEB15800CE,NIFTY,0,2/24/2022,15800,0.05,50,CE,NFO-OPT,NFO
29357,9277186,36239,NIFTY22FEB15800PE,NIFTY,0,2/24/2022,15800,0.05,50,PE,NFO-OPT,NFO
29358,9277442,36240,NIFTY22FEB15850CE,NIFTY,0,2/24/2022,15850,0.05,50,CE,NFO-OPT,NFO
29359,9278722,36245,NIFTY22FEB15850PE,NIFTY,0,2/24/2022,15850,0.05,50,PE,NFO-OPT,NFO
29360,9278978,36246,NIFTY22FEB15900CE,NIFTY,0,2/24/2022,15900,0.05,50,CE,NFO-OPT,NFO
29361,9280258,36251,NIFTY22FEB15900PE,NIFTY,0,2/24/2022,15900,0.05,50,PE,NFO-OPT,NFO
29362,9280514,36252,NIFTY22FEB15950CE,NIFTY,0,2/24/2022,15950,0.05,50,CE,NFO-OPT,NFO
29363,9280770,36253,NIFTY22FEB15950PE,NIFTY,0,2/24/2022,15950,0.05,50,PE,NFO-OPT,NFO
29364,9281026,36254,NIFTY22FEB16000CE,NIFTY,0,2/24/2022,16000,0.05,50,CE,NFO-OPT,NFO
29365,9281282,36255,NIFTY22FEB16000PE,NIFTY,0,2/24/2022,16000,0.05,50,PE,NFO-OPT,NFO
29366,13408514,52377,NIFTY22FEB16050CE,NIFTY,0,2/24/2022,16050,0.05,50,CE,NFO-OPT,NFO
29367,13408770,52378,NIFTY22FEB16050PE,NIFTY,0,2/24/2022,16050,0.05,50,PE,NFO-OPT,NFO
29368,13409026,52379,NIFTY22FEB16100CE,NIFTY,0,2/24/2022,16100,0.05,50,CE,NFO-OPT,NFO
